user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
BIN61	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002351725	GCA_002351725.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002351725	96.35	0.75	GCA_002351725.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002351725	96.35	0.75	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902800365.1, s__Prevotella sp902800365, 95.0, 93.85, 0.74; GCA_900315765.1, s__Prevotella sp900315765, 95.0, 90.28, 0.65; GCF_900142525.1, s__Prevotella ruminicola_A, 95.0, 84.97, 0.59; GCA_900317405.1, s__Prevotella sp900317405, 95.0, 83.65, 0.62; GCA_902761905.1, s__Prevotella sp902761905, 95.0, 83.57, 0.55; GCF_000025925.1, s__Prevotella ruminicola, 95.0, 83.31, 0.56; GCF_000687715.1, s__Prevotella ruminicola_B, 95.0, 83.12, 0.53; GCF_900107775.1, s__Prevotella ruminicola_C, 95.0, 83.05, 0.53; GCF_000702825.1, s__Prevotella sp000702825, 95.0, 82.54, 0.49; GCA_900322175.1, s__Prevotella sp900322175, 95.0, 82.54, 0.48; GCA_015060625.1, s__Prevotella ruminicola_D, 95.0, 82.53, 0.53; GCA_902789415.1, s__Prevotella sp902789415, 95.0, 82.45, 0.53; GCF_000619825.1, s__Prevotella sp000619825, 95.0, 81.76, 0.48; GCF_900109055.1, s__Prevotella sp900109055, 95.0, 80.13, 0.33; GCA_017443345.1, s__Prevotella sp017443345, 95.0, 79.99, 0.3; GCA_016286575.1, s__Prevotella sp016286575, 95.0, 79.97, 0.31; GCA_902798285.1, s__Prevotella sp902798285, 95.0, 79.64, 0.34; GCF_900110085.1, s__Prevotella sp900110085, 95.0, 79.63, 0.34; GCA_902799765.1, s__Prevotella sp902799765, 95.0, 79.59, 0.29; GCA_905234145.1, s__Prevotella sp905234145, 95.0, 79.47, 0.29; GCA_900314995.1, s__Prevotella sp900314995, 95.0, 79.42, 0.3; GCA_902776935.1, s__Prevotella sp902776935, 95.0, 79.42, 0.31; GCA_002379425.1, s__Prevotella sp002379425, 95.0, 79.37, 0.22; GCA_902800595.1, s__Prevotella sp902800595, 95.0, 79.34, 0.29; GCA_902761605.1, s__Prevotella sp902761605, 95.0, 79.32, 0.29; GCA_900315525.1, s__Prevotella sp900315525, 95.0, 79.29, 0.25; GCA_900318395.1, s__Prevotella sp900318395, 95.0, 79.18, 0.32; GCA_900319305.1, s__Prevotella sp900319305, 95.0, 79.15, 0.31; GCA_902771155.1, s__Prevotella sp902771155, 95.0, 79.1, 0.27; GCA_016291495.1, s__Prevotella sp016291495, 95.0, 79.07, 0.19; GCA_017449495.1, s__Prevotella sp017449495, 95.0, 78.97, 0.26; GCA_017474845.1, s__Prevotella sp017474845, 95.0, 78.96, 0.24; GCA_902785945.1, s__Prevotella sp902785945, 95.0, 78.93, 0.26; GCA_016286585.1, s__Prevotella sp016286585, 95.0, 78.93, 0.25; GCF_900110895.1, s__Prevotella sp900110895, 95.0, 78.9, 0.25; GCA_902784615.1, s__Prevotella sp902784615, 95.0, 78.88, 0.28; GCA_902784065.1, s__Prevotella sp902784065, 95.0, 78.85, 0.32; GCA_900320905.1, s__Prevotella sp900320905, 95.0, 78.83, 0.23; GCA_900315695.1, s__Prevotella sp900315695, 95.0, 78.82, 0.28; GCA_900315035.1, s__Prevotella sp900315035, 95.0, 78.78, 0.26; GCA_017650905.1, s__Prevotella sp017650905, 95.0, 78.74, 0.21; GCA_002371695.1, s__Prevotella sp002371695, 95.0, 78.74, 0.24; GCA_002393725.1, s__Prevotella sp002393725, 95.0, 78.68, 0.25; GCA_017428805.1, s__Prevotella sp017428805, 95.0, 78.67, 0.25; GCA_016283605.1, s__Prevotella sp016283605, 95.0, 78.66, 0.29; GCA_017965725.1, s__Prevotella sp017965725, 95.0, 78.61, 0.24; GCA_017556145.1, s__Prevotella sp017556145, 95.0, 78.61, 0.21; GCA_002342665.1, s__Prevotella sp002342665, 95.0, 78.59, 0.23; GCA_017965475.1, s__Prevotella sp017965475, 95.0, 78.56, 0.26; GCA_900321425.1, s__Prevotella sp900321425, 95.0, 78.52, 0.2; GCA_900316445.1, s__Prevotella sp900316445, 95.0, 78.5, 0.26; GCA_017547605.1, s__Prevotella sp017547605, 95.0, 78.44, 0.31; GCA_016284635.1, s__Prevotella sp016284635, 95.0, 78.42, 0.24; GCA_902763615.1, s__Prevotella sp902763615, 95.0, 78.37, 0.24; GCA_902799905.1, s__Prevotella sp902799905, 95.0, 78.37, 0.17; GCA_902776545.1, s__Prevotella sp902776545, 95.0, 78.36, 0.27; GCA_900321965.1, s__Prevotella sp900321965, 95.0, 78.34, 0.2; GCA_016285075.1, s__Prevotella sp016285075, 95.0, 78.33, 0.16; GCA_900319715.1, s__Prevotella sp900319715, 95.0, 78.33, 0.25; GCA_017460765.1, s__Prevotella sp017460765, 95.0, 78.28, 0.26; GCA_902784565.1, s__Prevotella sp902784565, 95.0, 78.26, 0.25; GCA_017618275.1, s__Prevotella sp017618275, 95.0, 78.26, 0.24; GCA_902800585.1, s__Prevotella sp902800585, 95.0, 78.22, 0.2; GCA_902800495.1, s__Prevotella sp902800495, 95.0, 78.19, 0.19; GCA_905235835.1, s__Prevotella sp905235835, 95.0, 78.16, 0.17; GCA_016290175.1, s__Prevotella sp016290175, 95.0, 78.15, 0.25; GCA_017471465.1, s__Prevotella sp017471465, 95.0, 78.15, 0.17; GCA_017460515.1, s__Prevotella sp017460515, 95.0, 78.12, 0.15; GCA_016285245.1, s__Prevotella sp016285245, 95.0, 78.11, 0.2; GCA_905233555.1, s__Prevotella sp905233555, 95.0, 78.11, 0.27; GCA_017632825.1, s__Prevotella sp017632825, 95.0, 78.06, 0.22; GCA_017430675.1, s__Prevotella sp017430675, 95.0, 78.05, 0.23; GCA_900316475.1, s__Prevotella sp900316475, 95.0, 78.03, 0.19; GCF_900115435.1, s__Prevotella sp900115435, 95.0, 77.99, 0.15; GCA_902780025.1, s__Prevotella sp902780025, 95.0, 77.99, 0.18; GCA_902776195.1, s__Prevotella sp902776195, 95.0, 77.98, 0.16; GCA_017449675.1, s__Prevotella sp017449675, 95.0, 77.96, 0.15; GCA_902794405.1, s__Prevotella sp902794405, 95.0, 77.95, 0.19; GCA_002353225.1, s__Prevotella sp002353225, 95.0, 77.92, 0.16; GCA_017458005.1, s__Prevotella sp017458005, 95.0, 77.92, 0.16; GCA_017964785.1, s__Prevotella sp017964785, 95.0, 77.92, 0.23; GCA_017545045.1, s__Prevotella sp017545045, 95.0, 77.82, 0.16; GCA_017518935.1, s__Prevotella sp017518935, 95.0, 77.72, 0.21; GCA_017554385.1, s__Prevotella sp017554385, 95.0, 77.7, 0.14; GCA_017470055.1, s__Prevotella sp017470055, 95.0, 77.66, 0.15; GCA_017645645.1, s__Prevotella sp017645645, 95.0, 77.66, 0.15; GCA_902779745.1, s__Prevotella sp902779745, 95.0, 77.64, 0.16; GCA_017395215.1, s__Prevotella sp017395215, 95.0, 77.64, 0.15; GCA_902771785.1, s__Prevotella sp902771785, 95.0, 77.58, 0.18; GCA_017551005.1, s__Prevotella sp017551005, 95.0, 77.56, 0.21; GCA_017458225.1, s__Prevotella sp017458225, 95.0, 77.54, 0.18; GCA_017449025.1, s__Prevotella sp017449025, 95.0, 77.4, 0.14; GCA_017478085.1, s__Prevotella sp017478085, 95.0, 77.26, 0.13; GCA_902800435.1, s__Prevotella sp902800435, 95.0, 77.2, 0.18; GCA_017476785.1, s__Prevotella sp017476785, 95.0, 77.18, 0.12; GCA_902770845.1, s__Prevotella sp902770845, 95.0, 77.09, 0.15; GCA_900318585.1, s__Prevotella sp900318585, 95.0, 77.07, 0.16; GCA_905235905.1, s__Prevotella sp905235905, 95.0, 76.95, 0.12; GCA_905235325.1, s__Prevotella sp905235325, 95.0, 76.9, 0.15	81.87	11	N/A	N/A
BIN610	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
BIN611	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__	N/A	N/A	N/A	N/A	N/A	GCA_017631955.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp017631955	88.01	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017399405.1, s__Fimenecus sp017399405, 95.0, 87.16, 0.81; GCA_017503135.1, s__Fimenecus sp017503135, 95.0, 82.97, 0.68; GCA_017624735.1, s__Fimenecus sp017624735, 95.0, 82.27, 0.57; GCA_017399175.1, s__Fimenecus sp017399175, 95.0, 82.01, 0.53; GCA_017546665.1, s__Fimenecus sp017546665, 95.0, 81.74, 0.54; GCA_017466205.1, s__Fimenecus sp017466205, 95.0, 81.42, 0.43; GCA_904501895.1, s__Fimenecus sp904501895, 95.0, 80.79, 0.56; GCA_004555265.1, s__Fimenecus sp004555265, 95.0, 78.45, 0.05; GCA_900315985.1, s__Fimenecus sp900315985, 95.0, 77.64, 0.1; GCA_900766945.1, s__Fimenecus sp900766945, 95.0, 77.63, 0.04; GCA_002490425.1, s__Fimenecus sp002490425, 95.0, 77.52, 0.18; GCA_004556705.1, s__Fimenecus sp004556705, 95.0, 77.44, 0.11; GCA_002361875.1, s__Fimenecus sp002361875, 95.0, 77.36, 0.15; GCA_018712805.1, s__Fimenecus excrementavium, 95.0, 77.3, 0.03; GCA_002314305.1, s__Fimenecus stercoravium, 95.0, 77.21, 0.02; GCA_017438845.1, s__Fimenecus sp017438845, 95.0, 77.03, 0.06; GCA_015066635.1, s__Fimenecus sp015066635, 95.0, 76.97, 0.06; GCA_018714805.1, s__Fimenecus excrementigallinarum, 95.0, 76.72, 0.02; GCA_016290515.1, s__Fimenecus sp016290515, 95.0, 76.67, 0.05; GCA_900545625.1, s__Fimenecus sp900545625, 95.0, 76.47, 0.03; GCA_002490525.1, s__Fimenecus sp002490525, 95.0, 76.45, 0.04; GCA_900540295.1, s__Fimenecus sp900540295, 95.0, 76.39, 0.04; GCA_000432435.1, s__Fimenecus sp000432435, 95.0, 76.19, 0.06; GCA_002437245.1, s__Fimenecus sp002437245, 95.0, 76.09, 0.05	95.93	11	0.987695008740142	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
BIN612	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.0%)
BIN613	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UMGS1253;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UMGS1253;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	94.76	11	0.7645769928852104	N/A
BIN614	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.9%)
BIN615	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__UBA1829;g__UBA11452;s__UBA11452 sp003526375	GCA_003526375.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__UBA1829;g__UBA11452;s__UBA11452 sp003526375	98.59	0.8	GCA_003526375.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__UBA1829;g__UBA11452;s__UBA11452 sp003526375	98.59	0.8	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__UBA1829;g__UBA11452;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002069785.1, s__UBA11452 sp002069785, 95.0, 76.84, 0.13; GCA_015061565.1, s__UBA11452 sp015061565, 95.0, 76.74, 0.1; GCA_017646015.1, s__UBA11452 sp017646015, 95.0, 76.51, 0.1	82.64	11	N/A	N/A
BIN616	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UBA1206;s__UBA1206 sp000433115	GCA_000433115.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UBA1206;s__UBA1206 sp000433115	98.28	0.9	GCA_000433115.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UBA1206;s__UBA1206 sp000433115	98.28	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UBA1206;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002305335.1, s__UBA1206 sp002305335, 95.0, 76.18, 0.03; GCA_017429165.1, s__UBA1206 sp017429165, 95.0, 75.97, 0.05; GCA_002310055.1, s__UBA1206 sp002310055, 95.0, 75.95, 0.06; GCA_902772845.1, s__UBA1206 sp902772845, 95.0, 75.76, 0.05	94.58	11	N/A	N/A
BIN617	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG806;s__	N/A	N/A	N/A	N/A	N/A	GCA_017513525.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG806;s__RUG806 sp017513525	80.94	0.26	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG806;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017440965.1, s__RUG806 sp017440965, 95.0, 81.25, 0.27; GCA_015066205.1, s__RUG806 sp015066205, 95.0, 80.23, 0.25; GCA_017625435.1, s__RUG806 sp017625435, 95.0, 80.17, 0.22; GCA_015065425.1, s__RUG806 sp015065425, 95.0, 79.64, 0.25; GCA_017517135.1, s__RUG806 sp017517135, 95.0, 79.32, 0.09; GCA_902788995.1, s__RUG806 sp902788995, 95.0, 78.67, 0.07; GCA_017430145.1, s__RUG806 sp017430145, 95.0, 78.13, 0.02; GCA_015066385.1, s__RUG806 sp015066385, 95.0, 77.48, 0.13; GCA_017416485.1, s__RUG806 sp017416485, 95.0, 77.34, 0.08; GCA_017550625.1, s__RUG806 sp017550625, 95.0, 76.96, 0.05; GCA_902782845.1, s__RUG806 sp902782845, 95.0, 76.89, 0.03; GCA_017435865.1, s__RUG806 sp017435865, 95.0, 76.86, 0.08; GCA_902780565.1, s__RUG806 sp902780565, 95.0, 76.62, 0.06; GCA_017428085.1, s__RUG806 sp017428085, 95.0, 76.59, 0.04; GCA_017443805.1, s__RUG806 sp017443805, 95.0, 76.37, 0.03; GCA_017439205.1, s__RUG806 sp017439205, 95.0, 76.27, 0.03; GCA_017396895.1, s__RUG806 sp017396895, 95.0, 76.24, 0.06; GCA_900313475.1, s__RUG806 sp900313475, 95.0, 76.1, 0.04; GCA_016297645.1, s__RUG806 sp016297645, 95.0, 75.9, 0.09; GCA_017450185.1, s__RUG806 sp017450185, 95.0, 75.8, 0.02; GCA_902796175.1, s__RUG806 sp902796175, 95.0, 75.38, 0.02	11.18	11	0.9771947724635862	Genome domain questionable ( 11.7% Bacterial, 3.8% Archaeal)
BIN618	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__UBA1436;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__UBA1436;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_900315845.1, s__UBA1436 sp900315845, 95.0, 79.82, 0.43; GCA_017646765.1, s__UBA1436 sp017646765, 95.0, 79.71, 0.49; GCA_900315795.1, s__UBA1436 sp900315795, 95.0, 79.69, 0.5; GCA_002309715.1, s__UBA1436 sp002309715, 95.0, 79.6, 0.47; GCA_017525025.1, s__UBA1436 sp017525025, 95.0, 79.44, 0.43; GCA_902765225.1, s__UBA1436 sp902765225, 95.0, 79.17, 0.39; GCA_902794125.1, s__UBA1436 sp902794125, 95.0, 78.94, 0.39; GCA_902794895.1, s__UBA1436 sp902794895, 95.0, 78.94, 0.38; GCA_902781765.1, s__UBA1436 sp902781765, 95.0, 78.79, 0.38; GCA_900319885.1, s__UBA1436 sp900319885, 95.0, 78.78, 0.35; GCA_900319325.1, s__UBA1436 sp900319325, 95.0, 78.68, 0.25; GCA_902772695.1, s__UBA1436 sp902772695, 95.0, 78.68, 0.45; GCA_902766765.1, s__UBA1436 sp902766765, 95.0, 78.59, 0.4; GCA_902761975.1, s__UBA1436 sp902761975, 95.0, 78.4, 0.36; GCA_017961295.1, s__UBA1436 sp017961295, 95.0, 78.31, 0.27; GCA_017961585.1, s__UBA1436 sp017961585, 95.0, 78.29, 0.29; GCA_017475405.1, s__UBA1436 sp017475405, 95.0, 78.24, 0.22; GCA_900541355.1, s__UBA1436 sp900541355, 95.0, 78.17, 0.31; GCA_902798835.1, s__UBA1436 sp902798835, 95.0, 78.13, 0.26; GCA_015062115.1, s__UBA1436 sp015062115, 95.0, 78.12, 0.33; GCA_910576915.1, s__UBA1436 sp910576915, 95.0, 78.1, 0.29; GCA_016282685.1, s__UBA1436 sp016282685, 95.0, 78.05, 0.23; GCF_002159705.1, s__UBA1436 sp002159705, 95.0, 78.02, 0.34; GCA_900540405.1, s__UBA1436 sp900540405, 95.0, 77.92, 0.3; GCA_016283355.1, s__UBA1436 sp016283355, 95.0, 77.9, 0.24; GCA_002432025.1, s__UBA1436 sp002432025, 95.0, 77.59, 0.33; GCA_002329395.1, s__UBA1436 sp002329395, 95.0, 77.47, 0.26; GCA_902767385.1, s__UBA1436 sp902767385, 95.0, 77.01, 0.24	87.67	11	0.965159002905593	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
BIN619	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__RGIG3159;s__	N/A	N/A	N/A	N/A	N/A	GCA_017440065.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__RGIG3159;s__RGIG3159 sp017440065	78.64	0.17	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__RGIG3159;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	17.06	11	0.9002370402008885	N/A
BIN62	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__	ANI	classification based on placement in class-level tree	GCA_017416155.1, s__Faecalimonas sp017416155, 95.0, 81.03, 0.27; GCA_017472665.1, s__Faecalimonas sp017472665, 95.0, 80.52, 0.33; GCA_017465565.1, s__Faecalimonas sp017465565, 95.0, 80.0, 0.24; GCA_017410145.1, s__Faecalimonas sp017410145, 95.0, 79.72, 0.24; GCF_900104635.1, s__Faecalimonas phoceensis, 95.0, 79.34, 0.15; GCA_900551895.1, s__Faecalimonas sp900551895, 95.0, 79.23, 0.13; GCF_004346095.1, s__Faecalimonas umbilicata, 95.0, 79.23, 0.09; GCA_902381685.1, s__Faecalimonas sp000209385, 95.0, 79.12, 0.12; GCA_900316755.1, s__Faecalimonas sp900316755, 95.0, 78.91, 0.25; GCA_900546325.1, s__Faecalimonas sp900546325, 95.0, 78.04, 0.07; GCA_900550235.1, s__Faecalimonas sp900550235, 95.0, 77.92, 0.1; GCA_905197485.1, s__Faecalimonas sp900555395, 95.0, 77.68, 0.09; GCA_900556835.1, s__Faecalimonas sp900556835, 95.0, 75.99, 0.07	84.43	11	0.9690657769138742	N/A
BIN620	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__NSJ-63;s__NSJ-63 sp014384805	GCA_014384805.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__NSJ-63;s__NSJ-63 sp014384805	96.86	0.9	GCA_014384805.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__NSJ-63;s__NSJ-63 sp014384805	96.86	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	12.51	11	N/A	Genome domain questionable ( 13.3% Bacterial, 3.8% Archaeal)
